Year,club_name,overall,value_eur,age
2015,Hull City,74,3900000.0,26
2015,Fulham,74,4000000.0,27
2015,Newcastle United,74,3400000.0,28
2015,Tottenham Hotspur,74,2500000.0,30
2015,Wigan Athletic,74,2600000.0,29
2015,Fulham,74,2700000.0,29
2015,Manchester City,74,3300000.0,27
2015,Tottenham Hotspur,74,2900000.0,23
2015,Southampton,74,3200000.0,24
2015,Norwich City,74,3200000.0,27
2015,Swansea City,74,3900000.0,26
2015,Middlesbrough,74,4200000.0,25
2015,Sunderland,74,4000000.0,24
2015,West Bromwich Albion,74,3700000.0,27
2015,Sunderland,74,3600000.0,26
2015,Norwich City,74,4300000.0,26
2015,Wolverhampton Wanderers,74,3900000.0,26
2015,Swansea City,74,3800000.0,25
2015,Aston Villa,74,3500000.0,26
2015,Newcastle United,74,3200000.0,25
2015,Crystal Palace,74,3200000.0,24
2015,Norwich City,74,3500000.0,26
2015,Blackburn Rovers,74,4000000.0,24
2015,Crystal Palace,74,3200000.0,24
2015,Swansea City,74,3700000.0,24
2015,Stoke City,74,3800000.0,25
2015,Stoke City,74,3800000.0,25
2015,Swansea City,74,3300000.0,22
2015,Aston Villa,74,3700000.0,24
2015,Sunderland,74,3300000.0,27
2015,Tottenham Hotspur,74,2900000.0,22
2015,Queens Park Rangers,74,4000000.0,24
2015,Swansea City,74,2500000.0,22
2015,West Ham United,74,3300000.0,21
2015,Swansea City,74,3400000.0,25
2015,Liverpool,74,2900000.0,20
2015,Southampton,74,3400000.0,25
2015,Chelsea,74,2300000.0,19
2015,Southampton,74,2700000.0,19
2015,Liverpool,74,2900000.0,20
2015,Southampton,74,2900000.0,22
2015,Chelsea,74,3300000.0,23
2015,West Ham United,74,4000000.0,24
2015,West Ham United,73,450000.0,39
2015,Crystal Palace,73,1700000.0,33
2015,Newcastle United,73,2000000.0,29
2015,Swansea City,73,1500000.0,35
2015,Wigan Athletic,73,2200000.0,31
2015,Middlesbrough,73,750000.0,34
2015,West Bromwich Albion,73,750000.0,34
