nome,time_abreviado,idade,altura,peso,universidade,país,num_jogos,pontos,rebotes,assistencias,temporada
Brent Price,HOU,28,185.42,83.91452,Oklahoma,USA,25,5,1.2,2.6,1996-97
Brent Scott,IND,26,208.28,113.398,Rice,USA,16,1.2,0.6,0.2,1996-97
Brett Szabo,BOS,29,210.82,104.32616,Augustana (SD),USA,70,2.2,2.4,0.2,1996-97
Brian Evans,ORL,23,203.2,99.79024,Indiana,USA,14,1.4,0.6,0.5,1996-97
Brian Grant,SAC,25,205.74,115.212368,Xavier,USA,24,10.5,5.9,1.2,1996-97
Brian Shaw,ORL,31,198.12,90.7184,California-Santa Barbara,USA,77,7.2,2.5,4.1,1996-97
Arvydas Sabonis,POR,32,220.98,132.448864,None,Lithuania,69,13.4,7.9,2.1,1996-97
Armen Gilliam,MIL,33,205.74,117.93392,Nevada-Las Vegas,USA,80,8.6,6.2,0.7,1996-97
Antonio McDyess,DEN,22,205.74,99.79024,Alabama,USA,74,18.3,7.3,1.4,1996-97
Antonio Lang,CLE,25,203.2,104.32616,Duke,USA,64,2.7,2,0.5,1996-97
A.C. Green,DAL,33,205.74,102.0582,Oregon State,USA,83,7.2,7.9,0.8,1996-97
Aaron McKie,DET,24,195.58,94.800728,Temple,USA,83,5.2,2.7,1.9,1996-97
Aaron Williams,VAN,25,205.74,102.0582,Xavier,USA,33,6.2,4.3,0.5,1996-97
Acie Earl,MIL,27,210.82,108.86208,Iowa,USA,47,4,2,0.4,1996-97
Adam Keefe,UTA,27,205.74,109.315672,Stanford,USA,62,3.8,3.5,0.5,1996-97
Adrian Caldwell,PHI,30,203.2,120.20188,Lamar,USA,45,2.2,3.7,0.3,1996-97
Alan Henderson,ATL,24,205.74,106.59412,Indiana,USA,30,6.6,3.9,0.8,1996-97
Aleksandar Djordjevic,POR,29,187.96,89.811216,None,USA,8,3.1,0.6,0.6,1996-97
Allan Houston,NYK,26,198.12,90.7184,Tennessee,USA,81,14.8,3,2.2,1996-97
Allen Iverson,PHI,22,182.88,74.84268,Georgetown,USA,76,23.5,4.1,7.5,1996-97
Alonzo Mourning,MIA,27,208.28,118.387512,Georgetown,USA,66,19.8,9.9,1.6,1996-97
Brooks Thompson,DEN,26,193.04,87.543256,Oklahoma State,USA,67,6.6,1.4,2.7,1996-97
Alton Lister,BOS,38,213.36,111.13004,Arizona State,USA,53,1.6,3.2,0.2,1996-97
Andrew DeClercq,GSW,24,208.28,104.32616,Florida,USA,71,5.3,4.2,0.5,1996-97
Andrew Lang,MIL,31,210.82,124.7378,Arkansas,USA,52,5.3,5.3,0.5,1996-97
Anfernee Hardaway,ORL,25,200.66,97.52228,Memphis,USA,59,20.5,4.5,5.6,1996-97
Anthony Goldwire,DEN,25,187.96,82.553744,Houston,USA,60,6.5,1.4,3.7,1996-97
Anthony Mason,CHH,30,203.2,113.398,Tennessee State,USA,73,16.2,11.4,5.7,1996-97
Anthony Miller,ATL,25,205.74,115.66596,Michigan State,USA,1,0,7,0,1996-97
Anthony Peeler,VAN,27,193.04,94.347136,Missouri,USA,72,14.5,3.4,3.6,1996-97
Antoine Carr,UTA,35,205.74,115.66596,Wichita State,USA,82,7.4,2.4,0.9,1996-97
Antoine Walker,BOS,20,205.74,101.604608,Kentucky,USA,82,17.5,9,3.2,1996-97
Antonio Davis,IND,28,205.74,104.32616,Texas-El Paso,USA,82,10.5,7.3,0.8,1996-97
Antonio Harvey,SEA,26,210.82,102.0582,Pfeiffer,USA,6,2.5,1.7,0.2,1996-97
Amal McCaskill,ORL,23,210.82,106.59412,Marquette,USA,17,1.6,1.3,0.4,1996-97
Bruce Bowen,MIA,26,200.66,90.7184,Cal State-Fullerton,USA,1,0,0,0,1996-97
Bryant Reeves,VAN,24,213.36,124.7378,Oklahoma State,USA,75,16.2,8.1,2.1,1996-97
Bryant Stith,DEN,26,195.58,94.347136,Virginia,USA,52,14.9,4.2,2.6,1996-97
Clifford Robinson,POR,30,208.28,102.0582,Connecticut,USA,81,15.1,4,3.2,1996-97
Clifford Rozier,TOR,24,210.82,104.32616,Louisville,USA,42,4.5,5.6,0.7,1996-97
Clyde Drexler,HOU,35,200.66,100.697424,Houston,USA,62,18,6,5.7,1996-97
Corie Blount,LAL,28,208.28,109.769264,Cincinnati,USA,58,4.2,4.8,0.6,1996-97
Corliss Williamson,SAC,23,200.66,111.13004,Arkansas,USA,79,11.6,4.1,1.6,1996-97
Cory Alexander,SAS,24,185.42,86.18248,Virginia,USA,80,7.2,1.5,3.2,1996-97
Craig Ehlo,SEA,35,198.12,81.64656,Washington State,USA,62,3.5,1.8,1.1,1996-97
Cuonzo Martin,MIL,25,195.58,96.615096,Purdue,USA,3,0,0.3,0.3,1996-97
Dale Davis,IND,28,210.82,104.32616,Clemson,USA,80,10.4,9.7,0.7,1996-97
Dale Ellis,DEN,36,200.66,97.52228,Tennessee,USA,82,16.6,3.6,2,1996-97
Damon Stoudamire,TOR,23,177.8,77.564232,Arizona,USA,81,20.2,4.1,8.8,1996-97
Clar. Weatherspoon,PHI,26,200.66,108.86208,Southern Mississippi,USA,82,12.2,8.3,1.7,1996-97
Dan Majerle,MIA,31,198.12,99.79024,Central Michigan,USA,36,10.8,4.5,3.2,1996-97
Dana Barros,BOS,30,180.34,73.935496,Boston College,USA,24,12.5,2,3.4,1996-97
Danny Ferry,CLE,30,208.28,106.59412,Duke,USA,82,10.6,4.1,1.8,1996-97
Danny Manning,PHX,31,208.28,106.140528,Kansas,USA,77,13.5,6.1,2.2,1996-97
Darrell Armstrong,ORL,29,185.42,81.64656,Fayetteville State,USA,67,6.1,1.1,2.6,1996-97
Darrick Martin,LAC,26,180.34,77.11064,UCLA,USA,82,10.9,1.4,4.1,1996-97
Darrin Hancock,ATL,25,200.66,92.98636,Kansas,USA,24,1.8,0.8,0.5,1996-97
Darvin Ham,IND,23,200.66,99.79024,Texas Tech,USA,36,2.3,1.6,0.4,1996-97
David Robinson,SAS,31,215.9,106.59412,Navy,USA,6,17.7,8.5,1.3,1996-97
David Vaughn,ORL,24,205.74,108.86208,Memphis,USA,35,2.3,2.7,0.2,1996-97
David Wesley,BOS,26,185.42,89.811216,Baylor,USA,74,16.8,3.6,7.3,1996-97
David Wingate,SEA,33,195.58,83.91452,Georgetown,USA,65,3.6,1.1,1.2,1996-97
Dan Schayes,ORL,38,210.82,117.93392,Syracuse,USA,45,3,2.8,0.3,1996-97
Jerome Allen,DEN,24,193.04,83.460928,Pennsylvania,USA,76,3,1.3,2,1996-97
Chucky Brown,MIL,29,203.2,97.52228,North Carolina State,USA,70,2.9,2.1,0.4,1996-97
Chris Whitney,WAS,25,182.88,77.11064,Clemson,USA,82,5.2,1.3,2.2,1996-97
Bryon Russell,UTA,26,200.66,102.0582,Long Beach State,USA,81,10.8,4.1,1.5,1996-97
Buck Williams,NYK,37,203.2,102.0582,Maryland,USA,74,6.3,5.4,0.7,1996-97
Byron Scott,LAL,36,193.04,92.98636,Arizona State,USA,79,6.7,1.5,1.3,1996-97
Calbert Cheaney,WAS,25,200.66,97.52228,Indiana,USA,79,10.6,3.4,1.4,1996-97
Carl Herrera,SAS,30,205.74,102.0582,Houston,USA,75,8,4.5,0.7,1996-97
Carl Thomas,CLE,27,193.04,79.3786,Eastern Michigan,USA,19,1.1,0.7,0.4,1996-97
Carlos Rogers,TOR,26,210.82,99.79024,Tennessee State,USA,56,9.8,5.4,0.7,1996-97
Cedric Ceballos,PHX,27,200.66,102.0582,Cal State-Fullerton,USA,50,14.6,6.6,1.3,1996-97
Charles Barkley,HOU,34,198.12,114.305184,Auburn,USA,53,19.2,13.5,4.7,1996-97
Charles Jones,HOU,40,205.74,97.52228,Albany State (GA),USA,12,0.3,1.1,0.3,1996-97
Charles Oakley,NYK,33,205.74,111.13004,Virginia Union,USA,80,10.8,9.8,2.8,1996-97
Christian Laettner,ATL,27,210.82,111.13004,Duke,USA,82,18.1,8.8,2.7,1996-97
Charles Smith,SAS,31,208.28,110.676448,Pittsburgh,USA,19,4.6,3.4,0.7,1996-97
Cherokee Parks,MIN,24,210.82,108.86208,Duke,USA,76,3.3,2.6,0.4,1996-97
Chris Carr,MIN,23,198.12,99.79024,Southern Illinois,USA,55,6.1,2.1,0.9,1996-97
Chris Childs,NYK,29,190.5,88.45044,Boise State,USA,65,9.3,2.9,6.1,1996-97
Chris Dudley,POR,32,210.82,108.86208,Yale,USA,81,3.9,7.3,0.5,1996-97
Chris Gatling,NJN,29,208.28,104.32616,Old Dominion,USA,47,19,7.9,0.6,1996-97
Chris Jent,NYK,27,200.66,99.79024,Ohio State,USA,3,2,0.3,0.3,1996-97
Chris Mills,CLE,27,200.66,97.975872,Arizona,USA,80,13.4,6.2,2.5,1996-97
Chris Morris,UTA,31,203.2,99.79024,Auburn,USA,73,4.3,2.2,0.6,1996-97
Chris Mullin,GSW,33,200.66,97.52228,St. John's (NY),USA,79,14.5,4,4.1,1996-97
Chris Robinson,VAN,23,195.58,90.7184,Western Kentucky,USA,41,4.6,1.7,1.6,1996-97
Chris Webber,WAS,24,208.28,111.13004,Michigan,USA,72,20.1,10.3,4.6,1996-97
Charlie Ward,NYK,26,187.96,86.18248,Florida State,USA,79,5.2,2.8,4.1,1996-97
Jerome Kersey,LAL,35,200.66,108.86208,Longwood,USA,70,6.8,5.2,1.3,1996-97
Fred Hoiberg,IND,24,193.04,92.079176,Iowa State,USA,47,4.8,1.7,0.9,1996-97
Jerry Stackhouse,PHI,22,198.12,98.883056,North Carolina,USA,81,20.7,4.2,3.1,1996-97
Rumeal Robinson,POR,30,187.96,88.45044,Michigan,USA,54,3.3,0.9,1.4,1996-97
Sam Cassell,NJN,27,190.5,83.91452,Florida State,USA,61,15.9,3,5,1996-97
Sam Mack,HOU,27,200.66,99.79024,Houston,USA,52,5.6,2,1.1,1996-97
Sam Mitchell,MIN,33,200.66,97.52228,Mercer,USA,82,9.3,4,1,1996-97
Sam Perkins,SEA,36,205.74,115.66596,North Carolina,USA,81,11,3.7,1.3,1996-97
Samaki Walker,DAL,21,205.74,108.86208,Louisville,USA,43,4.9,3.4,0.4,1996-97
Sarunas Marciulionis,DEN,33,195.58,90.7184,None,USA,17,6.8,1.8,1.5,1996-97
Sasha Danilovic,DAL,27,198.12,90.7184,None,USA,56,12.5,2.4,1.8,1996-97
Scott Brooks,NYK,31,180.34,74.84268,California-Irvine,USA,38,1.5,0.5,0.8,1996-97
Scott Burrell,GSW,26,200.66,102.511792,Connecticut,USA,57,5.2,2.8,1.3,1996-97
Scott Williams,PHI,29,208.28,104.32616,North Carolina,USA,62,5.8,6.4,0.7,1996-97
Ruben Nembhard,POR,25,190.5,94.347136,Weber State,USA,10,4,0.8,1.7,1996-97
Scottie Pippen,CHI,31,200.66,103.418976,Central Arkansas,USA,82,20.2,6.5,5.7,1996-97
Sean Rooks,LAL,27,208.28,117.93392,Arizona,USA,69,3.8,2.4,0.6,1996-97
Sedale Threatt,HOU,35,187.96,83.91452,West Virginia Tech,USA,21,3.3,1.1,1.9,1996-97
Shandon Anderson,UTA,23,198.12,94.347136,Georgia,USA,65,5.9,2.8,0.8,1996-97
Shane Heal,MIN,26,182.88,81.64656,None,USA,43,1.7,0.4,0.8,1996-97
Shaquille O'Neal,LAL,25,215.9,136.0776,Louisiana State,USA,51,26.2,12.5,3.1,1996-97
Shareef Abdur-Rahim,VAN,20,205.74,104.32616,California,USA,80,18.7,6.9,2.2,1996-97
Sharone Wright,TOR,24,210.82,117.93392,Clemson,USA,60,6.5,3.1,0.5,1996-97
Shawn Bradley,DAL,25,228.6,112.490816,Brigham Young,USA,73,13.2,8.4,0.7,1996-97
Shawn Kemp,SEA,27,208.28,116.119552,Trinity Valley Community College,USA,81,18.7,10,1.9,1996-97
Jerome Williams,DET,24,205.74,93.439952,Georgetown,USA,33,1.5,1.5,0.2,1996-97
Shawnelle Scott,CLE,25,210.82,113.398,St. John's (NY),USA,16,1.3,1,0,1996-97
Sean Elliott,SAS,29,203.2,99.79024,Arizona,USA,39,14.9,4.9,3.2,1996-97
Sherman Douglas,MIL,30,185.42,88.45044,Syracuse,USA,79,9.7,2.4,5.4,1996-97
Roy Rogers,VAN,23,208.28,106.59412,Alabama,USA,82,6.6,4.7,0.6,1996-97
Ron Harper,CHI,33,198.12,97.975872,Miami (OH),USA,76,6.3,2.5,2.5,1996-97
Randolph Childress,DET,24,187.96,85.275296,Wake Forest,USA,23,1.7,0.3,0.7,1996-97
Randy Brown,CHI,29,187.96,86.18248,New Mexico State,USA,72,4.7,1.5,1.8,1996-97
Randy Livingston,HOU,22,193.04,94.800728,Louisiana State,USA,64,3.9,1.5,2.4,1996-97
Rasheed Wallace,POR,22,210.82,102.0582,North Carolina,USA,62,15.1,6.8,1.2,1996-97
Ray Allen,MIL,21,195.58,92.98636,Connecticut,USA,82,13.4,4,2.6,1996-97
Ray Owes,GSW,24,205.74,101.604608,Arizona,USA,57,3.1,2.9,0.3,1996-97
Reggie Geary,CLE,23,187.96,84.821704,Arizona,USA,39,1.5,0.4,0.9,1996-97
Reggie Jordan,MIN,29,193.04,88.45044,New Mexico State,USA,19,2.1,1.4,0.6,1996-97
