,label,distance_type,algorithm,precisao,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
17,10: 0.1,manhattan,Busca Binaria 1,6,1.7603247307780676,0.5654567787060809,0.5969541030980332,0.8281402096325418,0.931495245276209,0.0013506033332760126
18,10: 0.1,manhattan,Busca Binaria 2,2,2.347099641037423,0.5199834267230997,0.5199834267230997,0.7010177901067697,0.7010177901067697,0.006576199999926757
19,10: 0.1,manhattan,Busca Binaria 2,20,1.6644151110469545,0.5951073464183758,0.5951073464183758,0.8686195790127265,0.8686195790127265,0.0748225000002094
20,10: 0.1,manhattan,Busca Binaria 2,3,2.347099641037423,0.5930995036501548,0.5930995036501548,0.9222575575287006,0.9222575575287006,0.0064403999999740336
21,10: 0.1,manhattan,Busca Binaria 2,4,1.7603247307780676,0.5016769828438395,0.5016769828438395,0.6528431791046405,0.6528431791046405,0.007546800000000076
22,10: 0.1,manhattan,Busca Binaria 2,5,1.7603247307780676,0.5655934007288034,0.5655934007288034,0.7637746978332901,0.7637746978332901,0.01351459999978033
23,10: 0.1,manhattan,Busca Binaria 2,6,1.6625289124015081,0.5955926402721484,0.5955926402721484,0.8954939333554242,0.8954939333554242,0.014889599999605707
24,11: 0.5,euclidean,Busca Binaria 1,2,2.918394266850795,0.2776959201733114,0.3526262172915082,0.08535710840663682,0.1749670722644226,0.012459973333352536
25,11: 0.5,euclidean,Busca Binaria 1,20,2.416792469038157,0.29321767698739687,0.3469308315683517,0.09597597133888117,0.16548436410554232,0.08693969333330642
26,11: 0.5,euclidean,Busca Binaria 1,3,2.188795700138096,0.2860730653564201,0.33508922490058135,0.08679828969818452,0.15447396053121704,0.016585166666679165
27,11: 0.5,euclidean,Busca Binaria 1,4,2.5535949834944454,0.2896176589459689,0.35353736089226373,0.08533678793301148,0.15935290455596665,0.01995280333332327
28,11: 0.5,euclidean,Busca Binaria 1,5,2.188795700138096,0.2852659051010414,0.3386910978087111,0.07874163311287559,0.1350658050273437,0.024792816666680057
29,11: 0.5,euclidean,Busca Binaria 1,6,2.3711953418162706,0.2967190536737354,0.35109280448048985,0.09063205099148922,0.1681733373608907,0.02728434333334917
30,11: 0.5,euclidean,Busca Binaria 2,2,2.918394266850795,0.31789194966375195,0.31789194966375195,0.09487250932152973,0.09487250932152973,0.23316329999988739
