label,distance_type,algorithm,silhouette_mean,silhouette_std,rand_index_mean,rand_index_std,exec_time_mean,exec_time_std
8: 0.1,euclidean,Maiores Distancias,0.7537149642443398,0.018522448091394212,0.9722698383904209,0.03606521732545827,0.0015530109405517579,0.00019293820068448395
8: 0.1,manhattan,KMeans,0.773454067217106,0.0,1.0,0.0,0.029819567998250324,0.009785763893368635
8: 0.1,manhattan,Maiores Distancias,0.7625273084018738,0.013288977526952066,0.9709958205172866,0.02910487913056409,0.0010057528813680013,6.342619329465757e-05
9: 0.1,manhattan,KMeans,0.718849484135652,0.0,1.0,0.0,0.026262966791788737,0.002519716635037632
9: 0.1,euclidean,KMeans,0.732075397413502,0.0,1.0,0.0,0.11225464344024658,0.02084398586356382
9: 0.1,euclidean,Maiores Distancias,0.7162525513669995,0.026193769181555207,0.9666522605853055,0.0504426375689139,0.0015254020690917969,0.0002910364677412342
9: 0.1,manhattan,Maiores Distancias,0.684274693706349,0.02932119029639513,0.9278130588314656,0.05442074424906533,0.0009815375010172526,4.8418254768110616e-05
10: 0.1,euclidean,KMeans,0.5895737166868148,0.0,0.9135902219518874,0.0,0.10975665251413981,0.01631913094875698
10: 0.1,manhattan,Maiores Distancias,0.5286114556670737,0.042161152299014994,0.7210225103406783,0.08482268107661418,0.0009987513224283854,5.537296374485653e-05
10: 0.1,manhattan,KMeans,0.5970340275955172,0.0,0.9135902219518874,0.0,0.029196317990620932,0.003886753408644787
10: 0.1,euclidean,Maiores Distancias,0.5316731321744197,0.03667758902758341,0.7411720002773866,0.08372974277915066,0.0015730857849121094,0.00033005269104783506
11: 0.5,manhattan,KMeans,0.3584531507374923,0.0,0.10309147239365173,0.0,0.03670924504597982,0.020601789044345783
11: 0.5,euclidean,KMeans,0.34902978047787186,0.0,0.10309147239365173,0.0,0.11452895800272624,0.017390402433283703
11: 0.5,euclidean,Maiores Distancias,0.27124463142430144,0.03196632835318927,0.06763154663268375,0.038340224647891157,0.0014729738235473634,0.00020376627906516762
11: 0.5,manhattan,Maiores Distancias,0.26169243349893645,0.0325360652329824,0.07671599257430958,0.037456260158329785,0.0009809652964274088,4.805892996890525e-05
12: 0.5,manhattan,Maiores Distancias,0.3785213071298407,0.07063711405443426,0.5189394540019171,0.16105410486005922,0.0009884595870971679,6.450531538143103e-05
12: 0.5,euclidean,KMeans,0.5204780296303363,0.0,0.8865638470190016,0.0,0.11197022596995036,0.01795236395251136
